"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K3,K5";"easyC-connector";2;"easyC-SMD";;;
2;"R5,R6,R2,R3";"0603R";4;"10k";;;
3;"K4";"HEADER-UPDI";1;"HEADER-UPDI";;;
4;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
5;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
6;",,,,,,,,,,,";"buzzardLabel";12;"";;;
7;"D1";"0402LED";1;"purple";;;
8;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
9;"K2";"JST-SH_2pin_1mm_C145954";1;"JST-SH_2pin_1mm_C145954";;;
10;"R1";"tc33x-2-103e";1;"tc33x-2-103e";;;
11;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
12;"R4";"0402R";1;"1k";;;
13;"U2";"SOIC-14";1;"ATTINY404-SSNR";;;
14;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
15;"K1";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
16;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
17;"C2,C3,C1";"0603C";3;"0.1uF";;;
18;"U1";"SOIC−8";1;"LM393";;;
19;"K6";"DSHP03TS-S";1;"DSHP03TS-S";;;
20;"";"Version1.0.0.";1;"";;;
21;"G***";"Symbol-Front-Raining";1;"LOGO";;;
22;"G***";"Symbol-Front-Light";1;"LOGO";;;
23;"G***";"Symbol-Front-Humidity";1;"LOGO";;;
24;"G***";"Symbol-Front-Flame";1;"LOGO";;;
