"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K4";"HEADER-UPDI";1;"HEADER-UPDI";;;
2;"K3,K5";"easyC-connector";2;"easyC-SMD";;;
3;"R3,R4,R1";"0603R";3;"10k";;;
4;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
5;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
6;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
7;"D1";"0402LED";1;"purple";;;
8;",,,,,,,,,,,";"buzzardLabel";12;"";;;
9;"K1";"JST-SH_2pin_1mm_C145954";1;"JST-SH_2pin_1mm_C145954";;;
10;"H2,H4,H3,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
11;"R2";"0402R";1;"2k2";;;
12;"U1";"SOIC-14";1;"ATTINY404-SSNR";;;
13;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
14;"K2";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
15;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
16;"C2,C1";"0603C";2;"0.1uF";;;
17;"K6";"DSHP03TS-S";1;"DSHP03TS-S";;;
18;"G***";"Symbol-Front-Raining";1;"LOGO";;;
19;"G***";"Symbol-Front-Light";1;"LOGO";;;
20;"REF**";"Symbol-Front_I2C_ADDR_CUSTOM";1;"Symbol-Front_I2C_ADDR_CUSTOM";;;
21;"G***";"Symbol-Front-Flame";1;"LOGO";;;
22;"G***";"Symbol-Front-Water-Sensoric";1;"LOGO";;;
23;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
